DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Slovakia,2021,6.7,b,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Slovakia,2022,5.9,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Slovakia,2023,5.8,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Slovakia,2024,4.8,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Türkiye,2013,8.0,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Türkiye,2014,9.1,b,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Türkiye,2015,9.2,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Türkiye,2016,9.6,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Türkiye,2017,9.4,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Türkiye,2018,9.6,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Türkiye,2019,12.4,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Türkiye,2020,12.4,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Türkiye,2021,10.7,b,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Türkiye,2022,9.0,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Türkiye,2023,7.7,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,Türkiye,2024,7.1,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,United Kingdom,2013,8.0,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,United Kingdom,2014,6.4,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,United Kingdom,2015,5.5,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,United Kingdom,2016,5.0,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,United Kingdom,2017,4.5,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,United Kingdom,2018,4.1,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Males,From 15 to 74 years,Total,United Kingdom,2019,3.9,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2013,5.4,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2014,5.6,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2015,5.7,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2016,6.0,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2017,5.5,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2018,4.9,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2019,4.5,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2020,5.4,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2021,6.2,b,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2022,4.8,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2023,5.1,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2024,5.2,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Bosnia and Herzegovina,2021,17.4,b,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Bosnia and Herzegovina,2022,15.4,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Bosnia and Herzegovina,2023,13.2,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Bosnia and Herzegovina,2024,12.6,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Belgium,2013,8.4,,
